experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
116,25,0.600,2.5,2.50,30,72,25,800,0.00000000,1.00000000,0.32377716,1.00000000,2419,0.891041,0.108959,61.29
117,25,0.600,2.5,2.50,50,72,25,800,0.00000000,1.00000000,0.26873072,1.00000000,3711,0.832845,0.167155,60.72
118,25,0.600,2.5,3.00,20,72,25,800,0.00000000,1.00000000,0.36062759,1.00000000,1585,0.928607,0.071393,62.57
119,25,0.600,2.5,3.00,30,72,25,800,0.00000000,1.00000000,0.28079457,1.00000000,2419,0.891041,0.108959,61.66
120,25,0.600,2.5,3.00,50,72,25,800,0.00000000,1.00000000,0.30749466,1.00000000,3701,0.833296,0.166704,61.31
121,25,0.600,2.5,4.00,20,72,25,800,0.00000000,1.00000000,0.33522789,1.00000000,1591,0.928337,0.071663,61.31
122,25,0.600,2.5,4.00,30,72,25,800,0.00000000,1.00000000,0.34533764,1.00000000,2413,0.891311,0.108689,61.98
123,25,0.600,2.5,4.00,50,72,25,800,0.00000000,1.00000000,0.29736300,1.00000000,3713,0.832755,0.167245,60.91
124,25,0.600,2.5,5.00,20,72,25,800,0.00000000,1.00000000,0.25759179,1.00000000,1591,0.928337,0.071663,60.64
125,25,0.600,2.5,5.00,30,72,25,800,0.00000000,1.00000000,0.30569544,1.00000000,2417,0.891131,0.108869,62.33
126,25,0.600,2.5,5.00,50,72,25,800,0.00000000,1.00000000,0.19878502,1.00000000,3715,0.832665,0.167335,61.22
127,25,0.600,3.0,1.50,20,72,25,800,0.00000000,1.00000000,0.34519141,1.00000000,1591,0.928337,0.071663,61.42
128,25,0.600,3.0,1.50,30,72,19,800,0.00000000,1.00000000,0.20488939,1.00000000,2377,0.892933,0.107067,62.74
129,25,0.600,3.0,1.50,50,72,7,800,0.00000000,1.00000000,0.22973123,1.00000000,3327,0.850142,0.149858,61.36
130,25,0.600,3.0,2.00,20,72,10,800,0.00000000,1.00000000,0.20305409,1.00000000,1589,0.928427,0.071573,62.45
131,25,0.600,3.0,2.00,30,72,8,800,0.00000000,1.00000000,0.23197004,1.00000000,2415,0.891221,0.108779,61.13
132,25,0.600,3.0,2.00,50,72,11,800,0.00000000,1.00000000,0.26310022,1.00000000,3711,0.832845,0.167155,62.47
133,25,0.600,3.0,2.50,20,72,16,800,0.00000000,1.00000000,0.32780098,1.00000000,1589,0.928427,0.071573,60.88
134,25,0.600,3.0,2.50,30,72,14,800,0.00000000,1.00000000,0.21965257,1.00000000,2409,0.891491,0.108509,61.11
135,25,0.600,3.0,2.50,50,72,14,800,0.00000000,1.00000000,0.28941497,1.00000000,3725,0.832215,0.167785,62.68
136,25,0.600,3.0,3.00,20,72,14,800,0.00000000,1.00000000,0.31869613,1.00000000,1587,0.928517,0.071483,61.72
137,25,0.600,3.0,3.00,30,72,11,800,0.00000000,1.00000000,0.25968158,1.00000000,2417,0.891131,0.108869,59.61
138,25,0.600,3.0,3.00,50,72,12,800,0.00000000,1.00000000,0.26220875,1.00000000,3707,0.833026,0.166974,62.05
139,25,0.600,3.0,4.00,20,72,18,800,0.00000000,1.00000000,0.32995120,1.00000000,1589,0.928427,0.071573,60.03
140,25,0.600,3.0,4.00,30,72,24,800,0.00000000,1.00000000,0.32763218,1.00000000,2413,0.891311,0.108689,59.89
141,25,0.600,3.0,4.00,50,72,10,800,0.00000000,1.00000000,0.20394217,1.00000000,3707,0.833026,0.166974,61.95
142,25,0.600,3.0,5.00,20,72,10,800,0.00000000,1.00000000,0.37151846,1.00000000,1591,0.928337,0.071663,61.61
143,25,0.600,3.0,5.00,30,72,17,800,0.00000000,1.00000000,0.24861046,1.00000000,2411,0.891401,0.108599,60.91
144,25,0.600,3.0,5.00,50,72,25,800,0.00000000,1.00000000,0.25603249,1.00000000,3703,0.833206,0.166794,62.46
145,25,0.700,1.6,1.50,20,53,25,800,0.00000000,1.00000000,0.27293738,1.00000000,1164,0.903802,0.096198,46.81
146,25,0.700,1.6,1.50,30,53,25,800,0.00000000,1.00000000,0.24930809,1.00000000,1742,0.856033,0.143967,45.94
147,25,0.700,1.6,1.50,50,53,25,800,0.00000000,1.00000000,0.22052873,1.00000000,2630,0.782645,0.217355,46.67
148,25,0.700,1.6,2.00,20,53,25,800,0.00000000,1.00000000,0.25200606,1.00000000,1162,0.903967,0.096033,45.85
149,25,0.700,1.6,2.00,30,53,25,800,0.00000000,1.00000000,0.22178140,1.00000000,1754,0.855041,0.144959,46.88
150,25,0.700,1.6,2.00,50,53,25,800,0.00000000,1.00000000,0.22374486,1.00000000,2652,0.780826,0.219174,45.49
151,25,0.700,1.6,2.50,20,53,25,800,0.00000000,1.00000000,0.31311352,1.00000000,1168,0.903471,0.096529,46.65
152,25,0.700,1.6,2.50,30,53,25,800,0.00000000,1.00000000,0.28451356,1.00000000,1750,0.855372,0.144628,48.17
153,25,0.700,1.6,2.50,50,53,25,800,0.00000000,1.00000000,0.23979718,1.00000000,2662,0.780000,0.220000,46.88
154,25,0.700,1.6,3.00,20,53,25,800,0.00000000,1.00000000,0.25069582,1.00000000,1164,0.903802,0.096198,45.50
155,25,0.700,1.6,3.00,30,53,25,800,0.00000000,1.00000000,0.32983428,1.00000000,1756,0.854876,0.145124,47.38
156,25,0.700,1.6,3.00,50,53,25,800,0.00000000,1.00000000,0.23545263,1.00000000,2652,0.780826,0.219174,45.80
157,25,0.700,1.6,4.00,20,53,25,800,0.00000000,1.00000000,0.19589601,1.00000000,1164,0.903802,0.096198,47.03
158,25,0.700,1.6,4.00,30,53,25,800,0.00000000,1.00000000,0.26691268,1.00000000,1756,0.854876,0.145124,45.91
159,25,0.700,1.6,4.00,50,53,25,800,0.00000000,1.00000000,0.29204749,1.00000000,2670,0.779339,0.220661,47.13
160,25,0.700,1.6,5.00,20,53,25,800,0.00000000,1.00000000,0.30860072,1.00000000,1160,0.904132,0.095868,46.65
