experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
130,25,0.600,3.0,2.00,20,72,18,800,0.00000000,1.00000000,0.29296981,1.00000000,3224,0.963695,0.036305,124.38
131,25,0.600,3.0,2.00,30,72,7,800,0.00000000,1.00000000,0.24517793,1.00000000,4954,0.944214,0.055786,126.23
132,25,0.600,3.0,2.00,50,72,25,800,0.00000000,1.00000000,0.28004513,1.00000000,7738,0.912864,0.087136,125.27
133,25,0.600,3.0,2.50,20,72,25,800,0.00000000,1.00000000,0.31567551,1.00000000,3228,0.963650,0.036350,125.25
134,25,0.600,3.0,2.50,30,72,25,800,0.00000000,1.00000000,0.28115058,1.00000000,4950,0.944259,0.055741,124.61
135,25,0.600,3.0,2.50,50,72,16,800,0.00000000,1.00000000,0.31238866,1.00000000,7732,0.912932,0.087068,124.77
136,25,0.600,3.0,3.00,20,72,25,800,0.00000000,1.00000000,0.34509974,1.00000000,3230,0.963628,0.036372,122.85
137,25,0.600,3.0,3.00,30,72,25,800,0.00000000,1.00000000,0.28076996,1.00000000,4944,0.944327,0.055673,122.69
138,25,0.600,3.0,3.00,50,72,19,800,0.00000000,1.00000000,0.34832793,1.00000000,7736,0.912887,0.087113,126.70
139,25,0.600,3.0,4.00,20,72,25,800,0.00000000,1.00000000,0.29325426,1.00000000,3228,0.963650,0.036350,124.48
140,25,0.600,3.0,4.00,30,72,25,800,0.00000000,1.00000000,0.31034597,1.00000000,4952,0.944237,0.055763,124.52
141,25,0.600,3.0,4.00,50,72,25,800,0.00000000,1.00000000,0.23937562,1.00000000,7740,0.912842,0.087158,125.03
142,25,0.600,3.0,5.00,20,72,25,800,0.00000000,1.00000000,0.26514575,1.00000000,3226,0.963673,0.036327,124.32
143,25,0.600,3.0,5.00,30,72,25,800,0.00000000,1.00000000,0.21644104,1.00000000,4956,0.944192,0.055808,124.74
144,25,0.600,3.0,5.00,50,72,25,800,0.00000000,1.00000000,0.28189393,1.00000000,7740,0.912842,0.087158,123.52
145,25,0.700,1.6,1.50,20,53,25,800,0.00000000,1.00000000,0.42944703,1.00000000,2372,0.950992,0.049008,93.07
146,25,0.700,1.6,1.50,30,53,25,800,0.00000000,1.00000000,0.38848959,1.00000000,3588,0.925868,0.074132,93.42
147,25,0.700,1.6,1.50,50,53,25,800,0.00000000,1.00000000,0.16829397,1.00000000,5566,0.885000,0.115000,92.39
148,25,0.700,1.6,2.00,20,53,25,800,0.00000000,1.00000000,0.23701186,1.00000000,2374,0.950950,0.049050,93.37
149,25,0.700,1.6,2.00,30,53,25,800,0.00000000,1.00000000,0.35078528,1.00000000,3618,0.925248,0.074752,92.64
150,25,0.700,1.6,2.00,50,53,25,800,0.00000000,1.00000000,0.26361199,1.00000000,5624,0.883802,0.116198,93.82
151,25,0.700,1.6,2.50,20,53,25,800,0.00000000,1.00000000,0.28294352,1.00000000,2376,0.950909,0.049091,91.55
152,25,0.700,1.6,2.50,30,53,25,800,0.00000000,1.00000000,0.23586133,1.00000000,3620,0.925207,0.074793,91.67
153,25,0.700,1.6,2.50,50,53,25,800,0.00000000,1.00000000,0.25602042,1.00000000,5636,0.883554,0.116446,92.00
